epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3415.27,1.11117,0.8906,1.3444,0.73635,0.75304,0.77345,0.49451,1.21292,1.01092,1.49642,0.000821206,0.000821206,0.000821206
43,3492.05,1.08465,0.85293,1.30092,0.76162,0.72457,0.77298,0.46399,1.23609,1.00535,1.56025,0.000800577,0.000800577,0.000800577
44,3564.66,1.12326,0.8787,1.33026,0.81613,0.7158,0.74543,0.48742,1.29981,1.06376,1.58431,0.000779948,0.000779948,0.000779948
45,3637.3,1.12735,0.89418,1.32392,0.719,0.73085,0.73239,0.48183,1.18855,0.92315,1.47859,0.000759318,0.000759318,0.000759318
46,3709.85,1.09743,0.86494,1.31274,0.73006,0.7203,0.7459,0.4834,1.13011,0.9487,1.48079,0.000738689,0.000738689,0.000738689
47,3783.06,1.11139,0.87952,1.31828,0.79149,0.74855,0.77126,0.49373,1.20917,1.0084,1.51257,0.00071806,0.00071806,0.00071806
48,3855.93,1.06521,0.83195,1.29834,0.78505,0.69231,0.74029,0.48508,1.19935,0.9953,1.49783,0.000697431,0.000697431,0.000697431
49,3931.05,1.04757,0.8464,1.29413,0.77317,0.72855,0.7605,0.48969,1.18408,0.95086,1.51052,0.000676802,0.000676802,0.000676802
50,4004.05,1.06246,0.84087,1.29416,0.80311,0.71421,0.7456,0.50539,1.16423,1.01135,1.44764,0.000656173,0.000656173,0.000656173
51,4076.16,1.05605,0.83051,1.29619,0.82019,0.68439,0.74852,0.49314,1.19408,0.98668,1.535,0.000635544,0.000635544,0.000635544
52,4149.89,1.05968,0.85097,1.28212,0.84677,0.66094,0.76003,0.49985,1.1726,0.97824,1.51981,0.000614915,0.000614915,0.000614915
53,4222.42,1.03161,0.8255,1.29017,0.79493,0.74814,0.74767,0.49949,1.18304,1.00523,1.48009,0.000594286,0.000594286,0.000594286
54,4294.75,1.07151,0.83562,1.29559,0.75818,0.70935,0.73911,0.474,1.24644,1.03344,1.58046,0.000573656,0.000573656,0.000573656
55,4367.78,1.04318,0.81169,1.27889,0.80304,0.69283,0.73984,0.46814,1.22003,1.02133,1.56056,0.000553027,0.000553027,0.000553027
56,4440.9,1.02254,0.78598,1.27084,0.75998,0.73023,0.74466,0.48337,1.2116,0.94574,1.53345,0.000532398,0.000532398,0.000532398
57,4514.26,1.04025,0.80576,1.28218,0.72783,0.76424,0.73856,0.47667,1.19525,0.96275,1.52694,0.000511769,0.000511769,0.000511769
58,4586.94,1.04227,0.7788,1.29294,0.71197,0.714,0.73799,0.49245,1.15234,0.96192,1.48235,0.00049114,0.00049114,0.00049114
59,4659.62,1.03184,0.7976,1.27149,0.7503,0.7413,0.75458,0.49545,1.19538,0.94238,1.5042,0.000470511,0.000470511,0.000470511
60,4732.2,0.99995,0.77646,1.26296,0.82435,0.73304,0.77198,0.49613,1.21403,0.91649,1.514,0.000449882,0.000449882,0.000449882
61,4804.58,1.0483,0.79203,1.27784,0.78783,0.74399,0.77349,0.51446,1.20352,0.94136,1.51232,0.000429253,0.000429253,0.000429253
62,4877.59,1.02059,0.77573,1.27806,0.81648,0.67957,0.76177,0.49084,1.19458,0.97658,1.51979,0.000408623,0.000408623,0.000408623
63,4950.01,1.00594,0.76334,1.24727,0.78403,0.7362,0.75917,0.49066,1.20067,0.93876,1.49825,0.000387994,0.000387994,0.000387994
64,5022.44,0.97767,0.75828,1.25893,0.86476,0.70539,0.77022,0.51043,1.17053,0.93698,1.48641,0.000367365,0.000367365,0.000367365
65,5094.76,0.97729,0.74018,1.24525,0.80405,0.71855,0.75025,0.51941,1.16038,0.96011,1.48329,0.000346736,0.000346736,0.000346736
66,5167.5,0.9655,0.73832,1.23732,0.76658,0.77477,0.76121,0.50248,1.20208,0.95745,1.51356,0.000326107,0.000326107,0.000326107
67,5240.18,0.9461,0.72744,1.24203,0.76038,0.72815,0.73414,0.47147,1.27125,0.98077,1.60045,0.000305478,0.000305478,0.000305478
68,5322.13,0.99492,0.74765,1.2709,0.78651,0.73257,0.74515,0.50466,1.20053,0.94619,1.53259,0.000284849,0.000284849,0.000284849
69,5394.69,0.98698,0.7375,1.24768,0.81643,0.69046,0.75498,0.49841,1.19667,1.01922,1.5316,0.00026422,0.00026422,0.00026422
70,5467.46,0.98635,0.75074,1.23834,0.75104,0.68232,0.74376,0.50074,1.19225,0.97569,1.52071,0.00024359,0.00024359,0.00024359
71,5541.87,0.90917,0.74082,1.24618,0.81995,0.68701,0.74503,0.48006,1.21616,0.95386,1.55017,0.000222961,0.000222961,0.000222961
72,5619.01,0.8574,0.63414,1.21947,0.78832,0.69957,0.73833,0.47462,1.14557,0.92853,1.49158,0.000202332,0.000202332,0.000202332
73,5693.45,0.84786,0.60358,1.20083,0.79856,0.7234,0.75229,0.47715,1.1745,0.9596,1.51919,0.000181703,0.000181703,0.000181703
74,5766.41,0.82457,0.5912,1.21137,0.82584,0.69321,0.76403,0.49446,1.17165,0.93246,1.50022,0.000161074,0.000161074,0.000161074
75,5839.13,0.85649,0.60541,1.20007,0.80751,0.69957,0.74933,0.48543,1.19096,0.95389,1.51781,0.000140445,0.000140445,0.000140445
76,5912.83,0.81989,0.58862,1.19387,0.72505,0.77101,0.75162,0.47583,1.19279,0.97828,1.52841,0.000119816,0.000119816,0.000119816
77,5986.24,0.81,0.58259,1.18518,0.82988,0.70092,0.75182,0.48667,1.17824,0.95295,1.5236,9.91865e-05,9.91865e-05,9.91865e-05
78,6060.41,0.79991,0.57847,1.17695,0.7376,0.78793,0.75369,0.50457,1.16207,0.94353,1.50576,7.85574e-05,7.85574e-05,7.85574e-05
79,6134.52,0.82232,0.59218,1.17386,0.74263,0.77478,0.75495,0.49945,1.17373,0.94462,1.50891,5.79283e-05,5.79283e-05,5.79283e-05
80,6209.07,0.8084,0.57231,1.18164,0.73429,0.79481,0.75594,0.49833,1.17437,0.94433,1.51235,3.72991e-05,3.72991e-05,3.72991e-05
